tradition_winner_match,tradition_winner_general,tradition_pointsdiff_match,tradition_pointsdiff_general,tradition_Ediff_match,tradition_Ediff_general,tradition_winner_last_match,tradition_pointsdiff_last_match,tradition_Ediff_between_last_match,pi_ratings,elo,pagerank,history_winner,history_pointsdiff,history_pointsdiff_sd,history_Ediff,history_Ediff_sd,history_FIC,history_Performance_Index,history_Game_Score,history_Drtg,history_Ortg,history_Play,history_Points,history_TS,history_EFG,history_FIC_sd,history_Performance_Index_sd,history_Game_Score_sd,history_Drtg_sd,history_Ortg_sd,history_Play_sd,history_Points_sd,history_TS_sd,history_EFG_sd,history_FIC_received,history_Performance_Index_received,history_Game_Score_received,history_Play_received,history_Points_received,history_TS_received,history_EFG_received,history_FIC_received_sd,history_Performance_Index_received_sd,history_Game_Score_received_sd,history_Play_received_sd,history_Points_received_sd,history_TS_received_sd,history_EFG_received_sd,Current_form_pi_ratings,Current_form_elo,Current_form_pagerank,Current_form_winner,Current_form_pointsdiff,Current_form_pointsdiff_sd,Current_form_EDiff,Current_form_EDiff_sd,Current_form_FIC,Current_form_Performance_Index,Current_form_Game_Score,Current_form_Drtg,Current_form_Ortg,Current_form_Play,Current_form_Points,Current_form_TS,Current_form_EFG,Current_form_FIC_sd,Current_form_Performance_Index_sd,Current_form_Game_Score_sd,Current_form_Drtg_sd,Current_form_Ortg_sd,Current_form_Play_sd,Current_form_Points_sd,Current_form_TS_sd,Current_form_EFG_sd,Current_form_FIC_received,Current_form_Performance_Index_received,Current_form_Game_Score_received,Current_form_Play_received,Current_form_Points_received,Current_form_TS_received,Current_form_EFG_received,Current_form_FIC_received_sd,Current_form_Performance_Index_received_sd,Current_form_Game_Score_received_sd,Current_form_Play_received_sd,Current_form_Points_received_sd,Current_form_TS_received_sd,Current_form_EFG_received_sd,Tournament_Points_difference,Tournament_Points_difference_sd,Tournament_EDiff,Tournament_EDiff_sd,Tournament_FIC,Tournament_Performance_Index,Tournament_Game_Score,Tournament_Drtg,Tournament_Play,Tournament_TS,Tournament_EFG,Tournament_FIC_sd,Tournament_Performance_Index_sd,Tournament_Game_Score_sd,Tournament_Drtg_sd,Tournament_Play_sd,Tournament_Points_sd,Tournament_TS_sd,Tournament_EFG_sd,Tournament_home_winner,Playoffs,Regular Season,Top 16,Team Result
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.358793077994713,-10820.016379056615,-0.0913419311980987,-0.75,-7.428571428571429,-11.863853833261668,0.0,-14.13115649708324,-44.17589285714286,-90.49285714285713,-51.07142857142858,-85.68964297850084,-92.3196193199521,-42.988838175093846,-81.70714285714286,-44.00856558080016,-48.96674627797865,-14.332979737214147,-20.04007576589362,-14.448416841124843,-9.889882385985603,-9.536054954623937,-5.690844358224142,-9.512603629911448,-4.96785854393915,-7.360793131189874,-32.39910714285714,-68.5642857142857,-39.207142857142856,-40.57746366610843,-74.27857142857142,-41.90439346658563,-46.303940098168816,-10.595374128269858,-15.006836978710037,-11.516252962120854,-5.341982178440778,-8.483439458412114,-4.710888413747131,-6.462389994121004,0.0,0.0,0.0,-0.7,-6.333333333333334,-10.559559812257502,0.0,-13.066978339555748,-40.02708333333333,-84.43333333333334,-46.2875,-83.83189234602838,-91.92682707041861,-42.195136439783546,-77.85,-42.477033059601844,-47.164101244201625,-13.176656896368355,-11.834451648135,-13.090172592707841,-9.89490233835216,-9.298898483443983,-6.046279365790928,-9.777321370028632,-4.580822729876523,-6.896212461979646,-30.06875,-64.18333333333334,-37.0625,-41.55386591756081,-71.51666666666665,-41.13301855320687,-48.28094048536979,-9.726314531125912,-11.76963209406559,-10.222572427861895,-5.571931796086172,-7.076655987826408,-3.841815964676306,-5.6018233846014125,3.484,12.638423319386007,3.86730240250735,15.154100937584667,6.018000000000001,10.268,6.338000000000051,-3.8673024025073346,1.4992754297764463,1.6051627505465547,1.3684108187116948,2.627379588852781,3.3644239707581107,2.8426353028479987,-1.941112229816813,1.4390428686410157,2.0117836551744226,0.9739367173089271,1.5420977848163249,0.624,0,1,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.23778437429314,5810.414641325684,0.012437098780873573,0.4166666666666667,0.9166666666666667,11.095174940642393,0.0,13.386679629002192,37.20416666666667,78.18333333333332,41.44583333333333,82.69788813934694,85.46165868523173,38.58905709991655,75.475,41.023884247891125,43.74229651149617,13.084213054003476,20.19572356434831,14.35670772341392,9.968240934705468,10.056713380840675,6.079125143410914,11.497883831351311,5.28504837796082,7.584861963492278,35.91770833333333,73.725,41.583333333333336,39.26925194927913,74.55833333333332,40.34133482294405,45.13276032546947,13.322689362722839,18.29744219811235,13.449274881852538,5.149601322324658,10.018063648276291,4.805626933097763,6.1648737976850985,9.730640143840683,-114.72181617114123,0.012410677780392124,0.4,0.8,11.734420500216052,0.0,12.510482497379957,36.825,75.89999999999999,41.28,84.63144370600838,86.30614880709264,38.58853322552105,74.5,40.35643235905382,42.73746411418235,15.460099571188554,16.96683145016045,16.824582137514348,7.146567373280362,9.370567990541229,8.169168581575837,10.661941910703783,5.331173125564336,10.329341446224321,37.0,76.5,42.410000000000004,39.374824179292254,73.69999999999999,41.612869469836475,45.319365765826,9.120636587039158,11.634008281661352,8.294732537500389,2.4658373315135624,5.302116269334347,4.8092285439957685,4.292788917475983,3.484,12.638423319386007,3.86730240250735,15.154100937584667,6.018000000000001,10.268,6.338000000000051,-3.8673024025073346,1.4992754297764463,1.6051627505465547,1.3684108187116948,2.627379588852781,3.3644239707581107,2.8426353028479987,-1.941112229816813,1.4390428686410157,2.0117836551744226,0.9739367173089271,1.5420977848163249,0.624,0,1,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.560370747341123,646.7718135345231,0.012457746997742623,0.3333333333333333,0.5,9.890958029233364,0.0,12.165014623240666,36.365625,80.64166666666667,42.63333333333334,88.2246624411402,88.86992255696235,40.034839630243646,76.85,40.85084310284767,44.57697397995788,14.331390431151823,23.23939148545635,15.686629840049354,12.229957287123481,10.93054489119441,6.719188171087668,10.191742943623096,6.472506890920959,8.355114890332025,37.90208333333334,71.30833333333334,45.145833333333336,42.836230578017926,79.14166666666667,42.93921162497217,49.63253135903698,13.640212936624849,23.46955420574082,14.906566871102408,6.234178079152912,10.059321674870107,7.565952797094209,9.286523632722359,10.031164454107524,3582.4722717298164,0.012861492981567715,0.4,0.5,10.884466675798386,0.0,13.447358004738533,41.925000000000004,84.9,48.550000000000004,90.41321325320698,90.30770359701665,42.46232880909331,79.79999999999998,42.60898661004004,47.47800105685901,17.143809959195572,26.85790670692242,18.650260444204896,10.239437842145184,11.67923489014654,7.184788052435177,13.095768633558798,6.965004896291807,8.907908897280599,40.050000000000004,80.19999999999999,47.970000000000006,43.120032613190396,81.29999999999998,44.044648374035894,49.89912541839343,11.156746232264938,20.897948608493046,11.856573103591085,5.004167238472617,8.449037729447147,5.565082487024197,7.1902440839649895,3.484,12.638423319386007,3.86730240250735,15.154100937584667,6.018000000000001,10.268,6.338000000000051,-3.8673024025073346,1.4992754297764463,1.6051627505465547,1.3684108187116948,2.627379588852781,3.3644239707581107,2.8426353028479987,-1.941112229816813,1.4390428686410157,2.0117836551744226,0.9739367173089271,1.5420977848163249,0.624,0,1,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.47546703005615,16279.796309917905,-0.00625,-0.1,-0.5,-10.995667658793938,0.0,-13.397643810290951,-26.875,-58.4,-35.620000000000005,-93.8857051922673,-77.0256471915759,-37.86605408040944,-75.89999999999999,-36.14332276477066,-43.19314708983524,-17.16683992481277,-25.268349793591536,-19.52149223604012,-6.64948059705597,-13.798245216581998,-7.1527104340814445,-13.772865536171718,-6.1441075665714715,-7.458693212352766,-52.1625,-97.6,-56.25,-44.463877122073015,-86.0,-46.04049385865879,-52.45083675668639,-13.315889348204266,-21.30996667986681,-13.757540998556284,-4.980708993423359,-10.139593031282878,-4.389437499923885,-6.231005271441628,0.0,0.0,0.0,-0.1,-0.5,-10.995667658793938,0.0,-13.397643810290951,-26.875,-58.4,-35.620000000000005,-93.8857051922673,-77.0256471915759,-37.86605408040944,-75.89999999999999,-36.14332276477066,-43.19314708983524,-17.16683992481277,-25.268349793591536,-19.52149223604012,-6.64948059705597,-13.798245216581998,-7.1527104340814445,-13.772865536171718,-6.1441075665714715,-7.458693212352766,-52.1625,-97.6,-56.25,-44.463877122073015,-86.0,-46.04049385865879,-52.45083675668639,-13.315889348204266,-21.30996667986681,-13.757540998556284,-4.980708993423359,-10.139593031282878,-4.389437499923885,-6.231005271441628,3.484,12.638423319386007,3.86730240250735,15.154100937584667,6.018000000000001,10.268,6.338000000000051,-3.8673024025073346,1.4992754297764463,1.6051627505465547,1.3684108187116948,2.627379588852781,3.3644239707581107,2.8426353028479987,-1.941112229816813,1.4390428686410157,2.0117836551744226,0.9739367173089271,1.5420977848163249,0.624,0,1,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4751794034742396,15820.793098050734,0.16318471978021334,0.4333333333333333,8.208035714285714,-1.8349126092094838,7.7629933762804715,-3.793520048072203,7.703683035714285,16.32321428571428,5.882410714285719,-5.0047773252394165,2.758216051041046,1.3973880197038824,0.4553571428571388,1.6638677747295887,1.1121009168080818,-4.931492243171222,-9.692438518718355,-5.089072016548101,-0.6370524974270619,-2.71581429929563,-0.38559108025964584,-3.0533461895878133,-1.7469311529240423,-1.0265571985316733,-10.055245535714285,-15.723214285714278,-10.209642857142867,-4.2857274233718385,-7.752678571428575,-3.669493983752517,-7.393612665046533,-2.822830378211787,-1.1797586849768997,-0.8712601045113288,0.2324581909433805,0.5699319878509339,-0.3378608727554182,-1.2120323384578144,10.611505018297049,-6490.779724616293,0.22258382068901156,0.3,5.525,-4.07915874689961,3.8503851806542224,-6.658812288850154,3.5364583333333357,9.225000000000001,1.2858333333333292,-4.622185334162452,-0.7718001535082379,1.262731685533197,-1.875,0.9959264121397169,1.9792625849490975,-8.135841164065083,-16.81590579356988,-9.611884607977757,-5.234714837340163,-6.861472257160193,-1.5898889436865842,-5.001196667254851,-2.8996411158671975,-1.8542896616094673,-8.911458333333329,-11.958333333333343,-9.073333333333338,-4.834498413058199,-7.400000000000006,-4.22313400529184,-8.438040389060717,-6.269615109330818,-6.7855511590185085,-5.85662395731584,-2.4401301605601358,-3.16406494838804,-3.736435744353125,-4.016786297342343,3.484,12.638423319386007,3.86730240250735,15.154100937584667,6.018000000000001,10.268,6.338000000000051,-3.8673024025073346,1.4992754297764463,1.6051627505465547,1.3684108187116948,2.627379588852781,3.3644239707581107,2.8426353028479987,-1.941112229816813,1.4390428686410157,2.0117836551744226,0.9739367173089271,1.5420977848163249,0.624,0,1,0,1
1.0,1.0,19.0,42.0,19.897209114836517,45.820487319562595,1.0,19.0,19.897209114836517,2.5552771062215376,49046.6784198017,0.1178500992249605,0.27407407407407414,11.790842490842492,-0.9128384841452881,11.805250166083013,-3.758503897073677,12.248809523809527,20.681501831501834,14.311208791208784,-2.0924621495959173,9.712788016487124,3.610543053728975,10.014835164835148,3.8916457902679014,4.8472048674984265,0.0017609699165497261,-1.4285221595234212,-0.7401513762278427,-2.172616547259416,-0.4561443098915703,1.6546468067210638,-1.026573419107919,0.9765726361247298,3.1913569906536905,-6.709684065934063,-6.126556776556768,-4.15523809523809,-1.1312942084330828,-1.7760073260073455,1.1927846429052025,0.28420725314332174,-4.806471522975617,-5.794157567941108,-3.6914783537819744,-1.6020199797264283,-0.16162570899734519,-1.325444569945514,-1.7412416049252197,11.294053867296725,35279.062283460094,0.16020310076630315,0.4,13.375,3.0113047060261877,16.256157365279666,-1.8692504175418279,17.1875,29.291666666666657,18.68333333333333,-3.051321947738032,13.20483541754163,4.604637773677183,10.416666666666686,5.589826595298213,5.952388765809587,4.264412801834931,6.371048386296632,6.966259938166338,-0.5880535523656487,3.9732834855588144,3.8207698609215184,7.250976049973005,2.3147131943737196,5.513811053711258,-8.494791666666664,-11.291666666666657,-5.395833333333343,-1.5716833371225292,-2.958333333333343,0.44286805956578235,-0.13155604581017144,-0.49067146452305366,-2.7028564798055648,1.336276456707175,0.2070427429472863,2.7418531634148238,0.193689219537875,1.0690364509320132,3.484,12.638423319386007,3.86730240250735,15.154100937584667,6.018000000000001,10.268,6.338000000000051,-3.8673024025073346,1.4992754297764463,1.6051627505465547,1.3684108187116948,2.627379588852781,3.3644239707581107,2.8426353028479987,-1.941112229816813,1.4390428686410157,2.0117836551744226,0.9739367173089271,1.5420977848163249,0.624,0,1,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.419684980949098,-7620.150437110729,-0.014385900306471943,-0.4166666666666667,-0.5,-10.43487271108695,0.0,-13.021935445989113,-30.03229166666667,-67.64166666666665,-35.54166666666667,-88.11552925282622,-83.39121169195585,-39.511329485137345,-71.68333333333334,-41.92002861488903,-47.15583249907328,-9.800763153506425,-17.36455989025047,-10.912967398260133,-11.13453643691883,-9.63573829432721,-5.549586078206659,-8.686573829267568,-6.68064757526028,-7.813539752401494,-38.047916666666666,-81.35,-44.37500000000001,-40.401556229710174,-74.43333333333334,-42.45176209640574,-45.00733724142855,-14.740504210762824,-20.491169018794,-16.136226800869377,-7.804657001880577,-10.60576120336545,-6.183675024672582,-9.534483759845557,0.0,0.0,0.0,-0.4,-0.5,-9.152798321931844,0.0,-12.008284813326858,-30.9375,-67.1,-37.64,-93.56906234456788,-85.44952279553776,-40.875210290917515,-73.69999999999999,-42.29747585270372,-48.027170314752645,-7.862063826905784,-12.088189066701483,-7.266793183091105,-12.18906821777709,-5.538721663000107,-3.7727839660603535,-3.911840419960289,-4.154053462820624,-5.273851377379569,-43.362500000000004,-88.69999999999999,-50.550000000000004,-43.48831942666434,-78.6,-44.84168363117474,-48.485254326585896,-17.113231651021728,-24.77170151865039,-18.835240214198993,-9.107567403022086,-11.69733336755708,-7.401661920242191,-11.698293333548895,3.7848605577689245,12.72422517308839,4.274881133656323,15.199753332584084,6.605577689243027,11.386454183266935,6.829482071713194,-4.274881133656294,1.6242040450118367,1.651857097884914,1.4078137396317771,2.3868710196721263,2.8613431428148175,2.5809934226789704,-1.7032147500663495,1.3451919741164948,1.8528287458772041,0.9413728586509373,1.4756966812920185,0.6334661354581673,0,1,0,0
1.0,0.0,14.0,-5.0,2.814052495540309,-23.3599192206343,1.0,14.0,2.814052495540309,-0.5098837919091571,-19077.376782252584,0.004090640393337007,-0.05978260869565216,-4.613636363636364,3.2762974679803456,-7.590175894268209,1.6446696703110497,-5.642518939393941,-10.715909090909093,-4.710606060606061,4.406294097546862,-3.1838817967213657,-0.46622002229204185,-3.9431818181818272,-0.6448870083766991,-0.6187363218052155,1.3189996848439236,-3.1237905042700547,0.9139397728373808,1.594003269101293,-1.7910518009722978,0.39887223082954737,0.11576323442333347,-0.34065045223390644,1.1480584545901564,4.758522727272727,13.374999999999986,3.7117424242424164,1.0758904590041993,0.670454545454561,1.78946335923564,1.2597322738863426,3.6796461519409682,6.163099404873993,3.453144694244097,1.6881136353526704,-0.3653914725508649,0.8807555766119686,1.92766128114667,9.459013452687463,-9302.510627947446,0.012091912557366549,-0.2,-7.3,2.3205780161135223,-7.888955677648836,3.4795221729242627,-5.637500000000003,-9.5,-5.310000000000002,3.562120394205124,-4.326835283443714,-1.933005937259722,-4.200000000000017,-1.1179759747167495,-2.82827584778655,2.307266692346765,-4.496482557946571,1.423833120724252,6.550955505798332,-1.2992145330711669,0.20532137833508557,0.48218338337481725,0.24576900088832065,0.5819800904077965,5.487499999999997,18.900000000000006,5.8899999999999935,0.8351675923609037,3.0999999999999943,2.919681709921207,2.7209870097237925,8.707321727201562,13.072447243335452,9.632782899740345,2.402905955921212,3.3122948659701406,1.279507084526089,1.4267330071529578,3.7848605577689245,12.72422517308839,4.274881133656323,15.199753332584084,6.605577689243027,11.386454183266935,6.829482071713194,-4.274881133656294,1.6242040450118367,1.651857097884914,1.4078137396317771,2.3868710196721263,2.8613431428148175,2.5809934226789704,-1.7032147500663495,1.3451919741164948,1.8528287458772041,0.9413728586509373,1.4756966812920185,0.6334661354581673,0,1,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5507766838210801,-5798.41006774113,-0.010997302865396831,-0.2222222222222222,-9.676373626373627,-0.8169756239070676,-9.32330198929925,-1.0957743737306789,-9.863186813186811,-15.907692307692308,-8.855302197802182,0.9202700479418553,-8.40303194135737,-2.9362397404141376,-5.959340659340668,-2.7559116020326897,-1.1913155722509714,1.8562178401844172,1.148893927152443,0.5430922863281289,-0.9744153491577592,-2.2548399897788025,1.6907867218039785,-0.8332525308565808,0.5687233544145798,3.9699154889903188,8.671497252747258,2.9703296703296616,6.591456043956043,2.9610307214926763,3.7170329670329636,2.700185799849308,6.833840140654445,4.116201646056538,0.0027958484428687314,3.88340699909336,0.5130502147434424,0.5620876232592273,0.2977491799640539,2.674894177790156,8.982628063330253,-21171.72759432879,0.006097560975609757,-0.09999999999999998,-6.983333333333334,2.4816034820292296,-8.439642826902901,3.939914188735621,-9.193750000000001,-19.791666666666657,-8.822499999999984,-2.3197246985238564,-10.759367525426768,-2.9220915490712684,-7.341666666666654,-2.934104552498752,-0.6423164036862588,3.021875490661939,5.7514839186621245,0.7043879183909585,2.708988274470709,-3.601231148675968,1.2390512345517246,-1.3651233932490703,1.8388298575056927,5.400748517848584,5.828125,0.1416666666666515,1.828333333333326,0.44473207788377067,-0.3583333333333485,1.9439266920724592,4.58331048860984,11.956053319667209,9.436451706363261,12.847066039245478,3.0341495574786155,6.557378505072802,1.7523263260755355,4.694352796700621,3.7848605577689245,12.72422517308839,4.274881133656323,15.199753332584084,6.605577689243027,11.386454183266935,6.829482071713194,-4.274881133656294,1.6242040450118367,1.651857097884914,1.4078137396317771,2.3868710196721263,2.8613431428148175,2.5809934226789704,-1.7032147500663495,1.3451919741164948,1.8528287458772041,0.9413728586509373,1.4756966812920185,0.6334661354581673,0,1,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.140816024856544,-14217.858236742686,-0.01150128926576291,-0.4642857142857143,-0.5,-11.409067448926804,0.0,-13.157989779011563,-34.5375,-73.38571428571429,-41.628571428571426,-86.81946847643056,-85.13907447931815,-41.01889906896876,-75.20714285714286,-42.32439091493726,-48.9250363330296,-10.418561676644808,-16.04982563866343,-11.353369696147046,-9.515321559541407,-8.756057934905932,-5.732008500520003,-8.879669755281506,-5.118810278813548,-8.138545383202596,-36.34553571428572,-76.1,-42.56071428571429,-40.97095851556369,-75.70714285714286,-42.03489219905506,-47.33999031683468,-13.338549372664314,-17.816493726800132,-13.63875675548554,-6.093260569349651,-9.1180206464327,-4.9801195531428295,-8.017555527527739,0.0,0.0,0.0,-0.3,-0.5,-11.199985764349808,0.0,-12.228322098681378,-35.0,-70.69999999999999,-42.279999999999994,-90.3025927595649,-84.49508942708044,-41.39752953460013,-74.0,-42.426413384668116,-49.180438189573124,-11.743970733448082,-14.785518736448582,-12.471577201416055,-9.858350438283919,-9.641039143224312,-5.6567025290893245,-11.009869012231144,-4.457716487332485,-6.315621543430254,-43.300000000000004,-86.1,-49.89000000000001,-43.83109218248308,-80.0,-44.55971936406477,-52.04628561339771,-13.162374946984015,-17.95317217563267,-14.219253057437454,-7.125024326995418,-10.069198408528438,-5.649187704211338,-8.998315995381235,3.7848605577689245,12.72422517308839,4.274881133656323,15.199753332584084,6.605577689243027,11.386454183266935,6.829482071713194,-4.274881133656294,1.6242040450118367,1.651857097884914,1.4078137396317771,2.3868710196721263,2.8613431428148175,2.5809934226789704,-1.7032147500663495,1.3451919741164948,1.8528287458772041,0.9413728586509373,1.4756966812920185,0.6334661354581673,0,1,0,1
